name,code,category,unit,prices[0][price],prices[0][currency]
"Bazén obdélník SKIMMER 2.5×4×1.5m",BAZ-OBD-SK-2.5-4-1.5,bazeny,ks,31500,CZK
"Bazén obdélník SKIMMER 2.5×5×1.5m",BAZ-OBD-SK-2.5-5-1.5,bazeny,ks,38000,CZK
"Bazén obdélník SKIMMER 2.5×6×1.5m",BAZ-OBD-SK-2.5-6-1.5,bazeny,ks,44500,CZK
"Bazén obdélník SKIMMER 2.5×7×1.5m",BAZ-OBD-SK-2.5-7-1.5,bazeny,ks,50500,CZK
"Bazén obdélník SKIMMER 3×4×1.5m",BAZ-OBD-SK-3-4-1.5,bazeny,ks,35500,CZK
"Bazén obdélník SKIMMER 3×5×1.5m",BAZ-OBD-SK-3-5-1.5,bazeny,ks,42000,CZK
"Bazén obdélník SKIMMER 3×6×1.5m",BAZ-OBD-SK-3-6-1.5,bazeny,ks,49000,CZK
"Bazén obdélník SKIMMER 3×7×1.5m",BAZ-OBD-SK-3-7-1.5,bazeny,ks,56000,CZK
"Bazén obdélník SKIMMER 3×8×1.5m",BAZ-OBD-SK-3-8-1.5,bazeny,ks,70500,CZK
"Bazén obdélník SKIMMER 3.5×5×1.5m",BAZ-OBD-SK-3.5-5-1.5,bazeny,ks,48500,CZK
"Bazén obdélník SKIMMER 3.5×6×1.5m",BAZ-OBD-SK-3.5-6-1.5,bazeny,ks,57000,CZK
"Bazén obdélník SKIMMER 3.5×7×1.5m",BAZ-OBD-SK-3.5-7-1.5,bazeny,ks,67000,CZK
"Bazén obdélník SKIMMER 3.5×8×1.5m",BAZ-OBD-SK-3.5-8-1.5,bazeny,ks,76500,CZK
"Bazén obdélník SKIMMER 4×6×1.5m",BAZ-OBD-SK-4-6-1.5,bazeny,ks,66000,CZK
"Bazén obdélník SKIMMER 4×7×1.5m",BAZ-OBD-SK-4-7-1.5,bazeny,ks,73000,CZK
"Bazén obdélník SKIMMER 4×8×1.5m",BAZ-OBD-SK-4-8-1.5,bazeny,ks,82500,CZK
"Bazén obdélník PŘELIV 2×5×1.2m",BAZ-OBD-PR-2-5-1.2,bazeny,ks,39650,CZK
"Bazén obdélník PŘELIV 2×6×1.2m",BAZ-OBD-PR-2-6-1.2,bazeny,ks,46800,CZK
"Bazén obdélník PŘELIV 2.5×5×1.2m",BAZ-OBD-PR-2.5-5-1.2,bazeny,ks,44200,CZK
"Bazén obdélník PŘELIV 2.5×6×1.2m",BAZ-OBD-PR-2.5-6-1.2,bazeny,ks,52000,CZK
"Bazén obdélník PŘELIV 2.5×7×1.2m",BAZ-OBD-PR-2.5-7-1.2,bazeny,ks,59800,CZK
"Bazén obdélník PŘELIV 3×5×1.2m",BAZ-OBD-PR-3-5-1.2,bazeny,ks,49400,CZK
"Bazén obdélník PŘELIV 3×6×1.2m",BAZ-OBD-PR-3-6-1.2,bazeny,ks,57850,CZK
"Bazén obdélník PŘELIV 3×7×1.2m",BAZ-OBD-PR-3-7-1.2,bazeny,ks,66300,CZK
"Bazén obdélník PŘELIV 3×8×1.2m",BAZ-OBD-PR-3-8-1.2,bazeny,ks,81900,CZK
"Bazén obdélník PŘELIV 3.5×5×1.2m",BAZ-OBD-PR-3.5-5-1.2,bazeny,ks,57200,CZK
"Bazén obdélník PŘELIV 3.5×6×1.2m",BAZ-OBD-PR-3.5-6-1.2,bazeny,ks,67600,CZK
"Bazén obdélník PŘELIV 3.5×7×1.2m",BAZ-OBD-PR-3.5-7-1.2,bazeny,ks,77350,CZK
"Bazén obdélník PŘELIV 3.5×8×1.2m",BAZ-OBD-PR-3.5-8-1.2,bazeny,ks,91650,CZK
"Bazén obdélník PŘELIV 4×6×1.2m",BAZ-OBD-PR-4-6-1.2,bazeny,ks,76050,CZK
"Bazén obdélník PŘELIV 4×7×1.2m",BAZ-OBD-PR-4-7-1.2,bazeny,ks,88400,CZK
"Bazén obdélník PŘELIV 4×8×1.2m",BAZ-OBD-PR-4-8-1.2,bazeny,ks,99450,CZK
"Bazén obdélník PŘELIV 2×5×1.3m",BAZ-OBD-PR-2-5-1.3,bazeny,ks,41167,CZK
"Bazén obdélník PŘELIV 2×6×1.3m",BAZ-OBD-PR-2-6-1.3,bazeny,ks,48533,CZK
"Bazén obdélník PŘELIV 2.5×5×1.3m",BAZ-OBD-PR-2.5-5-1.3,bazeny,ks,45933,CZK
"Bazén obdélník PŘELIV 2.5×6×1.3m",BAZ-OBD-PR-2.5-6-1.3,bazeny,ks,53950,CZK
"Bazén obdélník PŘELIV 2.5×7×1.3m",BAZ-OBD-PR-2.5-7-1.3,bazeny,ks,61750,CZK
"Bazén obdélník PŘELIV 3×5×1.3m",BAZ-OBD-PR-3-5-1.3,bazeny,ks,51133,CZK
"Bazén obdélník PŘELIV 3×6×1.3m",BAZ-OBD-PR-3-6-1.3,bazeny,ks,59800,CZK
"Bazén obdélník PŘELIV 3×7×1.3m",BAZ-OBD-PR-3-7-1.3,bazeny,ks,68467,CZK
"Bazén obdélník PŘELIV 3×8×1.3m",BAZ-OBD-PR-3-8-1.3,bazeny,ks,85150,CZK
"Bazén obdélník PŘELIV 3.5×5×1.3m",BAZ-OBD-PR-3.5-5-1.3,bazeny,ks,59150,CZK
"Bazén obdélník PŘELIV 3.5×6×1.3m",BAZ-OBD-PR-3.5-6-1.3,bazeny,ks,69767,CZK
"Bazén obdélník PŘELIV 3.5×7×1.3m",BAZ-OBD-PR-3.5-7-1.3,bazeny,ks,80600,CZK
"Bazén obdélník PŘELIV 3.5×8×1.3m",BAZ-OBD-PR-3.5-8-1.3,bazeny,ks,94250,CZK
"Bazén obdélník PŘELIV 4×6×1.3m",BAZ-OBD-PR-4-6-1.3,bazeny,ks,79300,CZK
"Bazén obdélník PŘELIV 4×7×1.3m",BAZ-OBD-PR-4-7-1.3,bazeny,ks,90567,CZK
